,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.0018494569017524901,0.0013498783756926865,1.3700915097654234,0.13674957508262878
A1CF,0.001480465813554263,0.00042576342606915474,3.477202885232791,0.5412300313120955
A2M,0.00586317643428609,0.002955648903997497,1.9837188464286741,0.2974801193821317
AADAC,0.0004140294763150192,0.00045703827714518115,0.9058967202948301,-0.042921312657406355
AAK1,0.0004773652964056593,6.65205463753983e-05,7.176208290769635,0.855895035696441
ABAT,0.0005350112763883079,0.0003977077787061654,1.3452371440378217,0.128798850337478
ABCA1,0.00041106585117170333,5.5233735281063396e-05,7.442296797056113,0.8717069855932663
ABCA6,0.0004894477117892849,9.406651421443582e-05,5.203208770695283,0.7162712516392548
ABCA9,0.00017847105792829045,4.488102136810173e-06,39.76537353384188,1.5995050663291848
ABCB1,0.00027022577682991205,9.989511468276387e-05,2.7050950157879683,0.43218252419589376
ABCC3,0.0005588064511837189,0.00012969173858606427,4.30872819869626,0.6343490989782631
ABCC6,0.00022356488129234576,0.00013050001147073357,1.7131407022326834,0.2337930335398336
ABCC9,0.00027539111870679065,5.045110556039122e-05,5.458574507889439,0.7370792426705692
ABCG2,4.517670085898556e-05,5.719111967318688e-05,0.789925098811554,-0.10241408682981112
ABHD14A-ACY1,0.0002028855209909731,0.00031079852088811643,0.6527879232218398,-0.18522788876190022
ABI3BP,4.097306481392263e-05,1.1590735376114506e-05,3.534984061352783,0.5483874599767257
ABL2,0.00017798321365995875,3.947655695080093e-05,4.508579962578213,0.6540397765725502
ABLIM1,0.000508587514249821,0.00013555722963443532,3.75182877092839,0.5742430094677264
ACAA1,0.0003376021125663859,0.0008333290069666612,0.4051246383409431,-0.3924113436588459
ACAA2,0.00045817626085685855,0.0013418325312163854,0.3414556214712703,-0.4666657329855343
ACADSB,0.0007362320548931743,0.0004348761237368539,1.692969594575104,0.22864915832935437
ACAP1,4.521290099538701e-05,1.742607945267112e-05,2.5945538190724045,0.41406268373541594
ACAT1,0.0006958903438249051,0.000780885603904885,0.8911552989900775,-0.05004660615691725
ACAT2,0.00010007705333255906,0.0002644044763834361,0.37849984501559103,-0.42193429399452237
ACE,7.799842697098183e-05,1.0630686380541206e-05,7.337101686468051,0.865524538096981
ACOT13,0.00013311984681676123,0.00032622637370726223,0.40805973258377853,-0.3892762593788797
ACOX1,0.0005519913677789731,0.00029213447235330165,1.8895112354676367,0.2763494786754143
ACOX2,8.273695996951646e-05,0.00028698975382914925,0.28829238279625635,-0.54016683230224
ACP5,3.9754091473499544e-05,2.067498215499414e-05,1.9228114044053362,0.2839366893124543
ACSF2,0.00010182908489975601,3.6890184927300585e-05,2.76033002004274,0.44096100862871296
ACSL1,0.0021815843145039076,0.0009887280588302598,2.2064553493959576,0.3436951433367329
ACSL5,0.0006528244545350388,0.0002668655109531581,2.446267605744028,0.3885039642868922
ACSM2A,0.002677310287429087,0.0008951450972847686,2.990923254285965,0.47580526937778067
ACSM2B,0.0026851860895486922,0.0007646418483544357,3.511691251698303,0.545516325691339
ACSM3,5.70149511448232e-05,0.00017030708813319185,0.33477732353825224,-0.4752439670340325
ACSM5,0.00026302282011142177,0.0002770281648792693,0.949444328976618,-0.02253049519981747
ACTA2,0.00010273036341814168,0.0004985980113013488,0.2060384540042865,-0.6860517174787348
ACTB,0.0007024524125527109,0.004666144797873257,0.15054235198034913,-0.8223413031010824
ACTN1,0.0001687729168312286,0.00013267602688601742,1.2720679145466285,0.10451029851795673
ACTN4,0.0003128732735770491,0.0003631772245162737,0.8614892467273357,-0.06475013912846209
ACTR2,0.00018008879850916776,0.00026763936264959505,0.6728785957577837,-0.17206328636839213
ACVRL1,2.6717229783495805e-05,7.4944002249709e-06,3.564959033609597,0.5520545435624932
ADAM19,7.402100687939389e-05,1.3833859247594604e-05,5.350712737102951,0.7284116356986277
ADAMTS1,0.00022116728315740237,0.00015378784752895471,1.4381323798407522,0.15779886462003204
ADAMTS13,8.662726199879135e-05,3.5756476109579047e-06,24.2270132362356,1.3842998765817784
ADAMTS2,0.00011107524018846078,1.0468052270171016e-05,10.61087939969239,1.0257513784920282
ADAMTS4,0.00010627113129522702,7.700619118890343e-05,1.3800336006040599,0.13988966058912275
ADAMTS9,0.00016544405634304421,2.2038265274576666e-05,7.507127003045036,0.8754737631762404
ADAMTSL2,5.1693622224960014e-05,1.0865110044559326e-05,4.757763337228734,0.6774028353700394
ADAMTSL3,8.430764786525377e-05,8.938729005942057e-06,9.431726569762873,0.9745912018660349
ADAP2,7.830090843803136e-05,3.1813987866846425e-05,2.4612101056224165,0.3911486896140415
ADD1,0.0002906191277503484,0.00015455339722362496,1.8803800690957861,0.27424563927882245
ADD3,0.0001236204431492716,0.00012189461055713925,1.0141583994915293,0.006105791932799699
ADGRA3,0.00038874864344094106,7.905207643001997e-05,4.917627227478038,0.6917556046822522
ADGRE2,3.8290883576332306e-05,1.8083934850172042e-05,2.1173977839213474,0.32580245420916776
ADGRE5,9.828198821004464e-05,6.291914630309063e-05,1.56203626375676,0.19369111210635118
ADGRF5,4.333973163260021e-05,3.28240166906168e-05,1.3203664877793422,0.1206944929702959
ADGRG6,0.0004655694965690807,0.00010983431783492683,4.238834507706404,0.6272464612030626
ADGRL2,4.421768003658449e-05,5.598909949988438e-05,0.7897551564778391,-0.1025075298133665
ADH1A,0.00195182840001636,0.002835732471258947,0.6882977924747004,-0.1622236233237819
ADH1B,0.006317876325064172,0.009750591622155039,0.6479479984279989,-0.18845984737322494
ADH4,0.002494159102447384,0.0037857909854601387,0.6588211319712451,-0.18123247909652154
ADH6,0.0003676512049145355,0.0006762335894359979,0.5436748642154396,-0.26466074532250666
ADI1,0.001116144033916052,0.0009593050836844127,1.1634922538190522,0.06576349623053551
ADIRF,9.62733647593073e-05,0.00025590607613926435,0.37620585728849687,-0.4245744470411678
ADM,0.00033194503657103184,7.7762315128779e-05,4.268713399560072,0.6302969973507053
ADSS2,0.0001814118575634949,8.37227741971426e-06,21.66816129818192,1.3358220598231223
AEBP1,4.771105355210302e-05,6.699415361335781e-05,0.7121674202715805,-0.14741789800227798
AFDN,0.0007435801887969072,0.00019015711783095264,3.9103463350656216,0.5922152240830295
AFM,0.0020449876826638676,0.0005413988325624396,3.7772295758100274,0.5771733815650092
AGFG2,2.9021005716888906e-05,5.36756031732015e-05,0.5406740493114414,-0.2670644747212252
AGMAT,9.4935938632709e-05,0.00011143213006237865,0.8519619842101624,-0.06957978365594943
AGMO,0.00016483259393866936,0.0001363528974932066,1.2088675559452755,0.08237872197495258
AGPAT2,5.888594010448532e-05,0.00012425832328628433,0.4738993618062539,-0.32431387615860463
AGRN,7.857853788289571e-05,0.0001086233941774035,0.723403448013799,-0.1406194255580904
AGT,0.0022882073915550766,0.001988718059960442,1.1505941629557042,0.06092216648892563
AGTR1,0.0001779668708535243,4.6650625436897086e-05,3.8148871357417233,0.5814816937850944
AGXT,0.0010486916369738376,0.001726492151299896,0.6074117604208427,-0.21651680373083865
AGXT2,5.240521887491232e-05,7.701745827453678e-05,0.6804329829752164,-0.16721464277117865
AHNAK,0.0010345179778908766,0.0003974770748428678,2.6027110577379746,0.415425957200592
AHSG,0.0013882858794059614,0.0051106319175054215,0.27164661862081535,-0.5659956965697446
AIF1,2.303982758710296e-05,0.0001847275124105721,0.12472331428301296,-0.9040523571224579
AIG1,0.0003911992387062271,0.0003426103005684163,1.1418198403760718,0.05759758508070548
AKAP1,0.00014005707759080384,8.595687835173243e-05,1.6293876682875261,0.2120244251113945
AKAP12,0.00028646540041861717,0.00013660231899728986,2.097075675737983,0.3216141028365477
AKAP13,0.0005716764565134005,0.00019578205816032094,2.9199634628688456,0.46537741721084264
AKAP7,0.00016894396334015004,0.00010628956621982664,1.5894689323573155,0.20125204364579358
AKAP9,0.0005865717878583053,0.00026902441220716134,2.1803663951753856,0.33852947985796944
AKNA,0.00014235183970215626,3.608987899054121e-05,3.9443701027500047,0.5959776583079569
AKR1C1,0.0012235476976637752,0.0011344098751641138,1.0785763809458782,0.03285090571926333
AKR1C2,0.0007211631549597963,0.001023819042307302,0.7043853700303977,-0.15218967283686044
AKR1C3,0.00023806123168702278,0.00023587581232534046,1.00926512701806,0.004005267402379632
AKR1C4,0.00017363645286612472,0.00042277409722642917,0.4107074061662027,-0.38646746557071326
AKR1D1,0.00013277932648661243,0.0002383279252859408,0.5571286970559854,-0.25404447095703686
AKR7A3,0.000156808380168532,0.00039003719022717253,0.40203443183764304,-0.3957367506052547
