,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.0018796874654541016,0.0012628919147572115,1.488399318650692,0.17271946254117046
A1CF,0.0011350796945415306,0.0004018401965189165,2.824704209221879,0.450972977101155
A2M,0.005710058436259367,0.002867206536293904,1.9915057963142335,0.2991815747692603
AADAC,0.00018254787834899773,0.0004279374578832507,0.42657606850298246,-0.3700035127136706
AAK1,0.00030565861695840363,7.676024507566699e-05,3.981991155149366,0.6001002910319007
ABAT,0.00036761817675531297,0.0003835173513037242,0.9585437934050082,-0.0183880405327499
ABCA1,0.00045811360196840775,7.10905763383993e-05,6.444083387195153,0.8091611516050955
ABCA6,0.0002754152530546078,9.113294605904861e-05,3.0221260802449583,0.48031257873644906
ABCA9,0.00017162677918464744,5.529783300142117e-06,31.036800154580487,1.491876939814152
ABCB1,0.0001635168984162735,9.839396750941184e-05,1.6618589793183445,0.22059416800265177
ABCC3,0.00024560304981980946,0.000144057425255252,1.7048968450229562,0.2316981070865299
ABCC6,9.877321229128694e-05,0.0001246104681385344,0.7926558158940293,-0.10091534951218123
ABCC9,0.0001579635754763229,5.335833619695603e-05,2.960429180048803,0.47135467626689775
ABCG2,0.00013502021556350077,5.824697236521568e-05,2.318064099828355,0.3651254410395042
ABHD14A-ACY1,0.0001433847568994277,0.0002992216093620354,0.4791925195681407,-0.3194899701171499
ABL2,7.651534042313721e-05,5.2617435445474533e-05,1.4541822453971018,0.16261883789199014
ABLIM1,0.00033187560219118296,0.00017763102323425562,1.8683425684797932,0.27145650891778866
ACAA1,0.00020583886048052387,0.0007903357547346079,0.260444828982391,-0.5842842608717425
ACAA2,0.0002796430183233514,0.0012779197701874917,0.21882674080730688,-0.6598996079535816
ACADSB,0.0006296640692325619,0.0004099898293331527,1.5358041204502773,0.1863358284348855
ACAP1,7.018777426987952e-05,1.0592840872332855e-05,6.625963244024651,0.8212490224059553
ACAT1,0.0005228872193819838,0.0007465269758416027,0.7004264230271158,-0.154637478867262
ACAT2,5.0163371755103935e-05,0.0002477679081076729,0.20246113444726005,-0.6936583340053096
ACMSD,3.365886599692903e-05,0.00013489568606366107,0.24951773462232485,-0.6028985812033408
ACOT13,9.347454991888938e-05,0.00031744725430588413,0.2944569488347808,-0.5309781923886598
ACOX1,0.0006586608457797407,0.0002893957211679795,2.27598681529027,0.3571697418780131
ACOX2,0.00010690207689309645,0.0002707381875489092,0.39485407603899414,-0.40356337444943313
ACP5,4.49766548672929e-05,1.6576675168258177e-05,2.713249455078687,0.43348972445963335
ACSF2,3.1715690775201156e-05,4.9870562408523875e-05,0.6359601585279157,-0.1965700910708639
ACSL1,0.001504198280911223,0.0009279031223018546,1.6210725503108017,0.20980245192104052
ACSL5,0.0007579485240682928,0.0003260364024283856,2.324735883548394,0.3663736192332314
ACSM2A,0.001545177802451583,0.0008399035045830759,1.839708721323412,0.26474906717488605
ACSM2B,0.0015328675816742429,0.0007165478412456343,2.13923968985732,0.3302594475684882
ACSM3,6.0583033797345286e-05,0.00016258488478196358,0.37262402269799494,-0.4287291500064099
ACSM5,0.00012016859089540741,0.0002600153405071055,0.46215961974029574,-0.335208002799081
ACTA2,0.00018127204564829722,0.0005007126634446776,0.36202808293528504,-0.44125773943705915
ACTB,0.0010380403630271243,0.00445039065915386,0.23324702088613583,-0.6321838945095424
ACTN1,0.00018230515591167364,0.00015943802089055011,1.1434233496715391,0.05820705662931448
ACTN4,0.0003456611937213355,0.0004296000933857058,0.8046115423233676,-0.09441374167354179
ACTR2,0.0003312908074453741,0.00026656361607780996,1.2428208032287131,0.09440851417725658
ADA2,2.8944998370340327e-05,7.282695299256764e-05,0.39744898256685696,-0.4007186104330922
ADAM19,3.19458175990994e-05,1.097718313922165e-05,2.9102017515729046,0.4639230977685931
ADAM8,2.4396197832879535e-05,1.1732613259492891e-05,2.0793490157139973,0.3179273911482574
ADAMTS1,0.00012511258534589437,0.00017324501753312088,0.7221713335679361,-0.1413597547908752
ADAMTS13,3.515927561130856e-05,8.703761821043393e-06,4.039549373502242,0.6063329206757654
ADAMTS2,7.203159962044675e-05,3.070800705169142e-05,2.345694381898326,0.37027142768519455
ADAMTS8,2.4396197832879535e-05,4.393035554248949e-06,5.55338046587934,0.7445574283026882
ADAMTSL2,2.3368637479722344e-05,2.2002273429671896e-05,1.0621010394411239,0.026165833868273508
ADAMTSL3,5.269134172264067e-05,1.0962105871929295e-05,4.806680608473923,0.6818452653394437
ADAP2,2.3368637479722344e-05,4.424660651726483e-05,0.5281453046710827,-0.2772465768312561
ADD1,0.00029147633572223743,0.00016875065882860504,1.7272604311327824,0.23735782412028386
ADD3,7.353200923482631e-05,0.0001545726815676555,0.47571154546246136,-0.32265630817692126
ADGRA3,0.00021473791417840862,9.177322217647499e-05,2.339875500562453,0.3691927502062298
ADGRE2,0.00010132571600247845,1.3165630356942313e-05,7.696229747863825,0.8862780237828989
ADGRE5,8.076829691873249e-05,7.006885808021801e-05,1.1526989183449412,0.061715885632315275
ADGRG1,2.5714052317683004e-05,4.2410256673203385e-05,0.6063168283989717,-0.21730037770039914
ADGRG6,0.0004935717132075565,0.00010932456763778258,4.514737390436092,0.65463249369683
ADGRL2,0.0001369102691806872,6.079260026171704e-05,2.2520877309290515,0.352585304614588
ADGRL4,2.2713233088923933e-05,3.715354598408923e-05,0.6113341940134255,-0.21372131195433258
ADH1A,0.001576755041548952,0.0026580827700327637,0.5931926045815032,-0.22680427202239015
ADH1B,0.008519784607687925,0.00921961823937621,0.9240929924083673,-0.03428432308974374
ADH4,0.0020602167472661003,0.0035477479317827946,0.5807111403855605,-0.2360398423641845
ADH6,0.00017830685998363138,0.0006345305814579626,0.2810059360321692,-0.5512845058643638
ADI1,0.0009061543019693648,0.0009127235100425708,0.9928026308066726,-0.0031370806800487074
ADIRF,0.00011657103879061055,0.00025164251787790067,0.46324063108910685,-0.33419335540344774
ADM,0.0001654410898045658,9.420817462789137e-05,1.7561224432808948,0.2445547932257601
ADSS2,4.437437208103588e-05,1.6553957554370985e-05,2.6805899396135073,0.4282303833287438
AEBP1,0.0002913169709086132,0.00013330214810570125,2.185388420579801,0.3395286376096868
AFDN,0.0005052615056749948,0.00018822748876421003,2.6843130564629107,0.4288331637942741
AFM,0.0007815449542691356,0.0005067416824840013,1.542294587723816,0.18816733454740076
AGFG2,3.918765519322483e-05,4.9670585752301715e-05,0.7889509374551495,-0.10295000345092353
AGMAT,6.808508186924298e-05,0.00010593779104019411,0.6426892726450248,-0.19199894899259054
AGMO,0.00016198490935503252,0.00012765631297694912,1.2689142086085636,0.10343226040250618
AGPAT2,0.00015785028656403345,0.00014253798671018397,1.107426098875546,0.04431475437915675
AGR3,4.560902130742393e-05,2.125805316638554e-05,2.1454938018286427,0.33152726422618
AGRN,8.70071079033555e-05,0.0001246101942613893,0.6982342690265335,-0.15599884001926775
AGT,0.0032112971093595623,0.00187716432112301,1.7107171030389123,0.23317819729845848
AGTR1,9.493443354215336e-05,5.7494914360335604e-05,1.6511796669036594,0.21779433195419612
AGXT,0.0005337034187649542,0.0016184821210401684,0.329755523293611,-0.48180792143482504
AGXT2,2.2080866648792896e-05,7.211508766943554e-05,0.30618927831036125,-0.5140100208623523
AHNAK,0.0011148545913735335,0.00043906738709801756,2.5391423369931436,0.40468704685168305
AHSG,0.0021108309210068343,0.0047912366687112955,0.44056077104089014,-0.3559941764520715
AIF1,2.3581276263172434e-05,0.00016639631914939072,0.14171753548226718,-0.8485764088068151
AIG1,0.0003226184839373527,0.000326597521776806,0.987816693103469,-0.0053236389747686455
AJAP1,2.739701706163861e-05,1.6057563176068198e-05,1.7061752621637172,0.23202364082979426
AKAP1,0.00016154363954067158,0.00010705429282154538,1.5089879656667058,0.1786857762465085
AKAP12,0.0003187671095747932,0.00012706220659546054,2.508748416353896,0.3994571113474677
AKAP13,0.0006485694455360166,0.00022810736486140868,2.843263942530169,0.45381717747576933
AKAP7,0.0002629426758776685,0.00010156925305361517,2.588801905817595,0.41309881965010176
AKAP9,0.0009398759741073885,0.00031838304086297397,2.9520290137309586,0.47012062159318996
AKNA,3.468642635008621e-05,3.825756585733852e-05,0.9066553392192018,-0.04255777658104336
AKR1B1,9.484418258053133e-05,6.398505261331383e-05,1.4822865451672134,0.17093216650143947
AKR1C1,0.0008988925703758311,0.0010665823182764178,0.842778428793409,-0.07428658883978141
AKR1C2,0.000645859577922101,0.0009654188631853359,0.6689941563718051,-0.17457767575469305
AKR1C3,0.00011209434369112671,0.00022055954413716263,0.5082271280966056,-0.2939421569396898
AKR1C4,0.000226975372034575,0.0003965965335950666,0.5723080077808285,-0.24237017736490188
AKR1D1,0.00011503499561213773,0.00022349057647422054,0.5147196692895324,-0.2884292354788192
AKR7A3,0.00034339193843858364,0.0003669691226766917,0.9357515856752883,-0.02883942828039136
AKT3,5.7004465525984e-05,3.128720152230046e-05,1.821973930309911,0.26054215858453705
ALAS1,0.0004809310250600825,0.00040171887480478576,1.1971830432259118,0.07816055691057758
ALCAM,0.0002399490335809953,0.00017176266901366532,1.3969801177338779,0.14519022514073124
ALDH1A1,0.0007674647620549681,0.0010266460495369477,0.7475456243182554,-0.12636229626776121
ALDH1A2,2.7001823148612455e-05,1.984915360722464e-05,1.3603513622255614,0.1336510958462017
ALDH1B1,4.39490945141357e-05,0.00023402066357065409,0.187800059377521,-0.7263042747572047
ALDH1L1,0.0007013947800188365,0.000451547842223552,1.5533122172945528,0.1912587581239074
ALDH2,0.0023419256333635768,0.0019494332530560561,1.201336660125308,0.079664730255562
ALDH3A2,0.0002543668391859944,0.0004353456885238982,0.5842870295751902,-0.23337375436480504
ALDH5A1,0.00013462352585748717,0.00015633461084906358,0.8611242585780456,-0.06493417616414143
ALDH6A1,0.0006525667507889842,0.0004272613915442058,1.5273244053961463,0.1839312914834407
ALDH8A1,0.00014425280007367622,0.00026583720411856493,0.5426358607403147,-0.2654915087553902
ALDOA,0.00025705027221520794,0.00030022278176876756,0.8561984227205942,-0.06742557655353529
ALDOB,0.006407631296547631,0.012864107268483428,0.49810151321157614,-0.3026821388971303
ALOX5,5.1580576111068056e-05,1.2351141872084353e-05,4.176178740821428,0.6207790782344381
ALPL,5.273891341696285e-05,3.303356279064623e-05,1.5965251387263737,0.20317576128710912
AMACR,5.3589468550763196e-05,0.0001779478695110912,0.301152628002793,-0.521213342614166
AMBP,0.008034300904526373,0.009112685025816454,0.8816612098152199,-0.05469826631194273
AMBRA1,0.00020572841078892476,0.0008255780069133332,0.24919318231126467,-0.603463843734779
AMDHD1,0.00019911610041424007,8.270377006627951e-05,2.407581906540255,0.38158107085508963
AMIGO2,4.69268757922274e-05,1.5645308853344524e-05,2.9994215027717885,0.47703750059281164
ANAPC16,0.0002079415528811604,0.00027529425237813167,0.7553428779745875,-0.1218558613385699
ANGPT2,2.8897426676018147e-05,1.6134811549906983e-05,1.7909987102504918,0.2530952731012392
ANGPTL2,3.450387122051014e-05,2.7542967582657407e-05,1.2527288904858498,0.09785709325626031
ANGPTL3,0.0016392091451300481,0.0009201004133816146,1.7815546230498007,0.25079914250260543
ANGPTL4,0.00044300039956071614,6.403018539014377e-05,6.918618099595689,0.8400193586688622
ANK2,7.750726721220115e-05,1.3340300182499373e-05,5.810009231567364,0.7641768224446476
ANK3,0.00037405718327524466,5.388152705528909e-05,6.942215703935337,0.8414981036559723
ANKH,8.382223775203297e-05,0.00013864577445043343,0.6045783802953176,-0.21854738723812694
ANKRD28,0.00014114424184284694,5.145753724514163e-05,2.7429264865600054,0.4382141681917828
ANKRD36C,0.00043633712085767437,5.857170442015147e-05,7.4496230761479,0.8721342995818224
ANKS1A,2.808250510631105e-05,3.993409494602796e-05,0.7032212735574784,-0.15290799963952498
ANO1,4.4764016083842815e-05,6.872149686861172e-05,0.6513830187579719,-0.1861635674718478
ANP32B,0.00044950917741584705,0.00033712688891688236,1.3333530851247888,0.12494517013117508
ANP32E,5.852791309103091e-05,7.183036356996017e-05,0.8148074182309664,-0.08894502571739568
ANPEP,5.595237142917201e-05,0.00047009770807832996,0.11902285518024468,-0.9243696358713231
ANTXR1,4.350632890678737e-05,6.101824605955817e-05,0.7130052355867798,-0.1469072811185415
ANTXR2,0.00014187879737482894,6.0407130715930565e-05,2.3487094270712094,0.3708292909260247
ANXA1,0.0003553064601849853,0.00014447125961577635,2.4593573914280844,0.3908216445772043
ANXA10,4.39490945141357e-05,0.0001382986717013714,0.31778392354364093,-0.49786807721324383
ANXA11,0.00014588264321309038,0.00032156242232208167,0.4536681934401283,-0.34326166794063245
ANXA2,0.000339460855521496,0.0007565922129036665,0.44867082918908924,-0.3480721656664744
ANXA3,3.279082282268052e-05,0.00011225950209717061,0.2920984167050477,-0.5344707970768596
ANXA4,6.94204243944946e-05,0.0011902493370621148,0.058324270581695606,-1.2341506838985556
ANXA5,0.0003666718207496713,0.0004579979071855021,0.8005971533864649,-0.09658595841121378
ANXA6,8.682305698079205e-05,9.23319092115596e-05,0.9403364202277552,-0.026716742879418626
AOPEP,0.00025921163613060514,8.056472785816443e-05,3.217433274111614,0.507509548898688
AOX1,0.000924711927522954,0.0007907261228696605,1.1694465387927737,0.0679803728420602
AP1B1,3.944786567099709e-05,7.22675055789021e-05,0.545858963236633,-0.262919553999194
AP1S2,3.258373394944967e-05,4.4499966062541326e-05,0.7322192988564463,-0.1353588287508439
AP1S3,0.00012877735046164585,3.879372449445755e-06,33.19540779850726,1.5210780082308253
AP2A2,0.0001631719868870984,7.981088643973288e-05,2.044482828922261,0.31058346737965475
AP2M1,0.0003163139557347624,0.00020853613083894544,1.516830462242799,0.18093704194224355
AP2S1,0.0001002736219056665,0.00019253679970679155,0.5208023715901072,-0.28332704677828263
APBB1IP,6.260386436726934e-05,3.6993928796749516e-05,1.6922740136962704,0.2284706855358998
APBB2,0.0025354666965065123,5.1523740013764786e-05,49.20967879717489,1.692050530303949
APCDD1,3.000264237737153e-05,6.147388280608886e-05,0.4880551058082804,-0.311531139478173
