,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.0005118239850664483,0.0003535024353052592,1.4478655136405896,0.16072822388027222
A1CF,0.0005783470514622675,0.00017254785451770158,3.3518066804066535,0.5252789622095015
A2M,0.0014030102205669411,0.0014259467788052202,0.983914856725931,-0.007042481704807175
AADAC,0.00017000123671227944,0.0001381290412123025,1.2307421757238568,0.09016708348541472
AAK1,0.0004220280832678085,0.00016016925830294882,2.6348881660522663,0.4207621869500483
ABAT,0.00040649579234783436,0.00016843229512692153,2.4134076665138413,0.3826306879939043
ABCA1,0.0003635827710471522,0.0001285373443944735,2.828615860705339,0.45157397223480633
ABCA6,8.358944402101801e-05,5.355572285428365e-05,1.560793871617627,0.19334555115332946
ABCB1,0.00011688729276844597,8.02893711189405e-05,1.4558252373815381,0.16310924379829397
ABCC3,0.00023664050264599686,0.00021838439256070976,1.083596221649457,0.034867482038823186
ABCC9,9.301838077455247e-05,6.954153962497058e-05,1.3375944978525032,0.12632447364367685
ABHD14A-ACY1,0.00014254634281552208,0.00013725073236612296,1.0385834768099658,0.016441408970247585
ABI3BP,7.256964127454638e-05,6.743045445492269e-05,1.0762146252930749,0.0318988896254724
ABL2,0.00027323504001064484,0.00013708803707127744,1.9931355488632405,0.29953683513879215
ABLIM1,0.0007429272419509516,0.0003765574570013345,1.9729452388678064,0.2951150311277184
ACAA1,7.781076761238756e-05,0.00030348714912675306,0.2563890030806196,-0.5911006063132289
ACAA2,0.000128995231917022,0.000552916749062992,0.2332995557389527,-0.6320860882114127
ACADSB,0.00024658520525088986,0.00013480307495216526,1.829225374409229,0.26226721713980367
ACAP1,5.0581956877461255e-05,2.602188572871223e-05,1.9438236492465164,0.288656861601989
ACAT1,0.00043074909186018295,0.0003249725602907042,1.32549373237807,0.12237767850437867
ACAT2,8.324716132128867e-05,9.632957492859595e-05,0.8641911000125913,-0.06339021064145586
ACE,5.499517154064188e-05,2.1279798556064005e-05,2.5843840295645166,0.4123570486142873
ACOT13,0.00010740643491905343,0.00017304306199563386,0.6206919461570984,-0.2071238898042643
ACOX1,0.00046149999545981655,0.00019111523930054282,2.414773396139665,0.38287638253120093
ACP5,4.759080865911772e-05,2.4232185814444768e-05,1.9639503024423373,0.29313049381338646
ACSF2,3.4234286217333855e-05,0.00010631291591063184,0.32201436602596517,-0.492124752693519
ACSL1,0.00049514831087367,0.00036357415744489184,1.36189082951728,0.13414229550739587
ACSL5,0.0008031468345154414,0.0005695824996094093,1.4100623440260167,0.14923831483120445
ACSM2A,0.00038867831342452244,0.00022961456751781096,1.6927423970797195,0.2285908718484375
ACSM2B,0.00047567432968669324,0.0001907372793284155,2.493871839640048,0.3968741312727278
ACSM5,6.485313256972027e-05,7.035430898211483e-05,0.9218075411160239,-0.03535974332401719
ACTA2,0.0004044567185951625,0.0010932960528776637,0.36994253983684683,-0.4318657261213462
ACTB,0.0017237004026021793,0.0080438179766654,0.21428883741558097,-0.6690004513337203
ACTN1,0.0003642295258275307,0.00035246015815227033,1.033392051280235,0.01426511668476524
ACTN4,0.0007024788242133431,0.0009374146894922441,0.7493789377184228,-0.12529851748883358
ACTR2,0.0006630366535958539,0.0004890528556436403,1.3557566343687621,0.13218173832430594
