,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.00015443494030615643,9.746242381984959e-05,1.584558789463469,0.1999083567897693
A1CF,0.00023238461353684175,0.00012232409228948014,1.8997452520383575,0.2786953677677891
A2M,0.0010974468409729351,0.0008259309908130396,1.328739147919147,0.123439730575133
AADAC,6.221031254695819e-05,5.114335394514763e-05,1.216390943262738,0.0850731779094016
AAK1,0.00039098703345499423,0.00015668194072939308,2.495418627283101,0.39714341259199726
ABAT,0.00021351065055775543,0.00016161726541854516,1.3210881275884752,0.12093178964236591
ABCA1,0.0007211395517148073,0.00020172443461360953,3.5748745713235226,0.5532608086720142
ABCA6,8.561324700598651e-05,1.7226017390342073e-05,4.969996550333589,0.6963560872903529
ABCA9,3.797427896301084e-05,6.880893714022241e-06,5.518800397341539,0.7418446868899149
ABCB1,0.00020841038695419936,8.237081324087933e-05,2.530148468301981,0.40314600618469076
ABCC3,0.0003006638197202054,0.00034739367680129707,0.8654844339385592,-0.0627407386671329
ABCC6,6.998791631162035e-05,4.346683724961518e-05,1.6101451299459328,0.2068650227983318
ABCC9,2.9464961571274754e-05,1.6379787510158013e-05,1.798861038520915,0.25499761552202643
ABHD14A-ACY1,4.375496120660417e-05,0.00010894714174220166,0.40161642156836214,-0.3961885377686223
ABHD17C,0.00011496502598044773,0.00022002848024113404,0.5225006592530886,-0.2819131572555726
ABI3BP,3.895265363286631e-05,2.5528060188279657e-05,1.5258759712087369,0.18351923400630826
ABL2,0.00021638320652286118,0.0001224809248182015,1.766668620799842,0.24715509525968452
ABLIM1,0.0006869116913039623,0.0006408082621295145,1.0719457471119962,0.030172805574917524
ACAA1,0.00017746497421809764,0.00021092247742882203,0.8413753544971755,-0.07501021345360834
ACAA2,0.00012506025628125148,0.00043753794019686567,0.2858272272913794,-0.5438964036094667
ACADSB,0.00013701119537874658,6.921085487400363e-05,1.9796200412228908,0.2965818418598977
ACAT1,0.0001787459353815074,0.00024357399343089863,0.7338465525968281,-0.13439474161980502
ACAT2,3.190025215326841e-05,5.5356884497407496e-05,0.576265309055866,-0.23937752398811554
ACE,3.413324677454955e-05,2.135440002638937e-05,1.598417503295261,0.2036902266019563
ACOT13,0.00015935194398963094,0.000160550578344486,0.9925342258669215,-0.003254508394713678
ACOX1,0.0002800486756679338,0.00022838383750927802,1.226219327611381,0.08856815717436575
ACOX2,5.543560695979728e-05,4.119100383422292e-05,1.345818304960547,0.12898643100279292
ACSF2,0.00015079049070828101,0.00020225560697036598,0.7455441802924875,-0.1275266155393368
ACSL1,0.0004003827860480123,0.000191964938812082,2.085707882520955,0.31925348247356444
ACSL5,0.0013106062458156326,0.001067187993343321,1.2280931325976812,0.08923130283085638
ACSM2A,0.00028520619376329174,6.098354024046055e-05,4.676773316844385,0.6699463201694719
ACSM2B,0.0001319185003271961,4.84974489402553e-05,2.7201121545528792,0.43458681105598757
ACSM3,3.6912127872647e-05,8.749312746650593e-05,0.42188602626849386,-0.37480485910493516
ACSM5,3.213080154038514e-05,1.949692297823763e-05,1.6479934590832301,0.2169554836416206
ACTA2,0.0003287530997111354,0.001243260194487376,0.26442823567329576,-0.5776921727023535
ACTB,0.0018356654292271406,0.00819832238084848,0.2239074464204175,-0.6499314629840711
