,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,3.8037675467794824e-05,0.00010109766424842427,0.37624682776375507,-0.42452715303399197
A1CF,0.00019504362257971477,2.947254378552604e-05,6.617807543151422,0.8207141330017285
A2M,0.0008143680414079669,0.0017289460799859578,0.4710199183392585,-0.3269607271770001
AADAC,5.107949847519621e-05,4.244036230000256e-05,1.203559435099194,0.08046754180528107
AAK1,0.00035184058400910856,0.00015546571379042437,2.2631394114551036,0.3547113077155745
ABAT,9.168386379183942e-05,4.7710389382735225e-05,1.9216750267189542,0.28367994626925797
ABCA1,0.00036458551284482813,9.84824289262817e-05,3.7020361583256234,0.568440656254974
ABCA6,3.8685759126579177e-05,6.731660032894418e-05,0.5746837917770696,-0.24057105141518736
ABCA9,8.562546289014003e-05,2.9728496460826348e-05,2.8802486867430344,0.45942998727918666
ABCB1,5.6698189481270624e-05,1.916049106191043e-05,2.9591198523080773,0.4711625556107582
ABCC3,9.730255479791387e-05,5.368972473300581e-05,1.8123124169809166,0.25823306600936735
ABCC9,0.0001208195109638682,0.00010056941816280731,1.2013543796015498,0.07967113596534904
ABI3BP,0.00023023886756518087,9.364148711850017e-05,2.458727158762668,0.3907103384100937
ABL2,0.0006880258568374768,0.00017831162987125642,3.8585585098080335,0.586425090122867
ABLIM1,8.601656563016977e-05,0.00011748386080472943,0.7321564429444346,-0.13539611149867864
ACAA2,5.283533231485352e-05,0.00017869865649424745,0.2956672050668403,-0.5291968440513692
ACADSB,4.180632406586406e-05,4.5977972677424726e-05,0.9092685395063329,-0.041307835147363164
ACAP1,3.105425336209284e-05,3.4681565380895e-05,0.8954109487572225,-0.04797759952620093
ACAT1,0.00012944460171441602,0.0001435786171523627,0.9015590502383238,-0.04500582262678451
ACAT2,3.170233702087719e-05,4.005905899041741e-05,0.7913899582229517,-0.10160946470434656
ACE,3.077731581687459e-05,2.9968496505911128e-05,1.0269889852767198,0.01156578570127717
ACKR3,5.237566579276493e-05,6.774214392861244e-05,0.7731622112219992,-0.11172938053434997
ACOT13,3.454596441494383e-05,8.243154207715104e-05,0.41908671783200235,-0.3776961030976207
ACOX1,0.0003567444364054444,7.802291308566972e-05,4.572303472106156,0.6601350475953437
ACOX2,3.077731581687459e-05,3.095825489922452e-05,0.9941553849550331,-0.0025457307389685734
ACP5,7.891897832965628e-05,3.126137426386687e-05,2.5244884522198996,0.4021733884406371
ACSL1,0.0004598272576481014,0.00017256121031391085,2.6647197061936283,0.42565153364198977
ACSL5,0.00046285600784251433,0.00017729755149223104,2.6106170330434377,0.4167431672520301
ACSM2A,5.457120952804721e-05,4.5493288148219186e-05,1.1995441910079516,0.07901625193485018
ACSM2B,6.090654797496483e-05,3.587081441556486e-05,1.697941598686887,0.2299227484496259
ACSM5,2.3793893711172607e-05,1.783289601224941e-05,1.334269750399968,0.12524364012560635
ACTA2,0.002237905836945988,0.003907605393659755,0.5727051765710732,-0.24206889136529497
ACTB,0.0024052374436126646,0.009501813448778294,0.2531345681094087,-0.5966485434468506
ACTG2,7.875620597924957e-05,0.00021128085931300484,0.37275599046374164,-0.4285753683861901
ACTN1,0.0011414897105019002,0.0006906379485890698,1.6528047913293678,0.21822156315720637
ACTN4,0.0009351184035974053,0.0008278924763227878,1.1295167311471146,0.05289266836045557
ACTR2,0.00042791593494469817,0.00048003297438976346,0.8914302928641131,-0.049912611667627074
ACVRL1,2.8487563513244436e-05,6.193535621271693e-05,0.4599564005961946,-0.33728333327034943
ADA2,5.403729106407436e-05,0.0001259519738172435,0.4290309188999495,-0.3675114084591695
