gene,1_nmc_H5,2_nmb_H5,3_mb_H5,4_mc_H5,5_mcol_H5
A1BG,0.0008693470730609552,0.0008811394141671671,0.00017834246823274807,5.6718522950969964e-05,1.6387723650985544e-05
A1CF,0.0006959008455729059,0.0005320902945106081,0.00020152209287245917,8.534669686932378e-05,8.40303974260915e-05
A2M,0.002756017329820818,0.00267669899270748,0.0004888717859894664,0.00040305363354818186,0.00035085315410736395
A2ML1,1.9346111137542028e-05,2.7137042062415198e-06,1.8120537817562426e-05,5.08163997833798e-06,0.0
A4GALT,0.0,2.7137042062415198e-06,1.5184003633364987e-05,1.9851581896169597e-06,1.3777590446920771e-05
AAAS,0.00011628549565889249,5.8402355983989276e-05,1.4827482091229495e-05,1.7342429563235576e-05,1.5043294601864166e-06
AACS,3.4348437823749474e-05,0.0,4.997981951495795e-05,1.9787143807395193e-05,5.287910790089976e-05
AADAC,0.00019461676184741485,8.557280587442574e-05,5.923606755934161e-05,2.284766020556427e-05,2.200651577542315e-05
AADACL2,2.192946387943181e-06,0.0,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0
AADAT,4.385892775886362e-06,1.4471223691073508e-05,1.9350094815464596e-06,9.83728690171081e-06,6.136630493367178e-06
AAGAB,1.799883389034885e-05,5.4274084124830395e-06,2.4284998245247727e-05,2.2690397621938262e-05,9.145289413740011e-06
AAK1,0.0002243881016193983,0.0001432833168448081,0.0001470535422909992,0.00014359578853455042,0.00015158303416370418
AAMDC,3.8504779608540725e-05,2.2404781471537747e-05,3.940648749314445e-05,4.167555475350683e-05,3.028462675052783e-05
AAMP,2.1867658307534108e-05,2.7314098906921247e-05,3.997501475070677e-05,9.820890170843072e-05,3.978785412213237e-05
AANAT,0.0,0.0,0.0,0.0,0.0
AAR2,0.0,8.944136786010234e-06,3.870018963092919e-06,1.1124043472105499e-05,6.136630493367178e-06
AARD,0.0,1.143618386643686e-05,6.450031605154866e-07,3.926064356046924e-06,8.746763697431951e-06
AARS1,2.618406348826182e-05,6.10809887009687e-05,5.1600252841238925e-06,2.2024059826622932e-05,6.136630493367178e-06
AARS2,9.174343867262112e-06,6.343695486060609e-05,1.7919033143672735e-05,2.145688703332599e-05,6.079876525416849e-05
AASDH,3.289419581914771e-06,8.944136786010234e-06,1.6226254039117498e-05,4.390148733940521e-05,9.264602066361523e-06
AASDHPPT,4.608346229345216e-05,8.844458293429999e-06,5.0393329904274455e-05,1.915668025357396e-05,7.90000863405741e-05
AASS,0.00019948500296891565,8.222462828449381e-05,7.631272299328807e-06,2.2582832839342004e-05,1.2273260986734356e-05
AATK,1.811387483823225e-05,7.033456747054389e-07,1.2900063210309731e-06,3.653670668756532e-06,1.5043294601864166e-06
ABAT,0.00025148490172550466,0.00017232804434599142,0.0001416413944026628,7.84149539600905e-05,3.950004317028705e-05
ABCA1,0.0001932236940546211,0.0002147495039889174,0.00012668857006971457,0.0002648491988516537,0.00015707391574736152
ABCA10,9.374056460958102e-05,6.047992314529956e-05,2.5441539816144512e-05,2.1245623818311197e-05,1.0768931526547938e-05
ABCA12,0.0,0.0,0.0,0.0,0.0
ABCA13,0.0,0.0,6.450031605154866e-07,2.7345715473299645e-06,0.0
ABCA2,1.1912895899592658e-05,2.2701215322822393e-05,4.311857914708114e-05,4.579086735773981e-05,1.1755422617804784e-05
ABCA3,3.6054742352070228e-06,1.4066913494108778e-06,1.5510300513936078e-05,1.6544932818701575e-05,1.3777590446920771e-05
ABCA4,2.295158537274905e-05,0.0,6.450031605154866e-07,1.3529401418693032e-06,0.0
ABCA5,7.332433463856541e-05,7.091632748574634e-05,3.1891571421299374e-05,7.192866058880205e-05,5.557901451001036e-05
ABCA6,0.00023006750536182048,0.0001291061621622358,2.9126317249427228e-05,3.144273508047927e-05,1.6666936714672092e-05
ABCA7,3.6054742352070228e-06,8.34046960388503e-06,1.4647766099706531e-05,8.979183432036404e-06,0.0
ABCA8,0.00047318833341865134,0.0005900142647537055,0.0006248255053114619,0.00028934433409418247,0.0006917352190181384
ABCA9,8.389127191286961e-05,8.045333197432586e-05,8.92127862035978e-06,1.3946617317559224e-05,3.688990996622228e-05
ABCB1,0.00012702106652504516,7.665167041061253e-05,4.072878353807929e-05,7.654180648659249e-05,2.44272093208472e-05
ABCB10,2.5460586413984483e-05,7.637123929179591e-06,2.7825809886859127e-05,1.256447515262212e-05,7.760272606175105e-06
ABCB11,0.00011523091746596437,9.975350014866933e-05,1.0995278390327672e-05,1.845281460965595e-05,0.0
ABCB4,0.00018190855774637263,0.00010476809230327685,2.9760819368405586e-05,2.7058802837386063e-06,1.5043294601864166e-06
ABCB5,0.0,0.0,0.0,0.0,0.00011858887158796414
ABCB6,8.07787067329052e-06,3.516728373527194e-06,5.7477863628407685e-05,1.1549549655787146e-05,0.0
ABCB7,1.3668620477879793e-05,4.5077792219251e-05,1.7943732266949894e-05,2.505717689977667e-05,3.008658920372833e-06
ABCB8,1.781139122380552e-05,7.033456747054389e-07,1.4756531726563561e-05,4.174270252873049e-06,8.746763697431951e-06
ABCB9,1.8348687734524224e-05,4.2056854682168916e-05,1.0350275229812187e-05,4.921938127885845e-06,2.624029109229585e-05
ABCC1,9.239594467332775e-06,3.4655490166358795e-05,1.4081303904483674e-05,1.5409932188609687e-05,9.145289413740011e-06
ABCC10,2.192946387943181e-06,0.0,4.942494030409831e-06,1.8532360238153938e-05,6.017317840745666e-06
ABCC11,4.764916348030654e-05,8.155018836644011e-05,6.450031605154866e-07,3.338098331486263e-06,1.5043294601864166e-06
ABCC12,0.0,0.0,0.0,0.0,0.0
ABCC2,0.0002148577292324794,0.00011209538127515982,1.9100273837846675e-05,1.308688118682308e-06,1.5043294601864166e-06
ABCC3,0.00026266995045076154,0.00011513112228133907,8.245618133789912e-05,0.00011042324829808581,4.19207367157111e-05
ABCC4,0.0,7.033456747054388e-06,2.1680286479908622e-05,7.166198475032965e-06,3.2257608933041516e-05
ABCC5,2.192946387943181e-06,1.1253530795287022e-05,1.7733791613862532e-05,4.965697454507875e-05,2.6050851433655127e-05
ABCC6,0.00010508786390564455,4.630183049751203e-05,5.051259657266862e-06,2.5704100572977392e-05,8.746763697431951e-06
ABCC8,0.0,0.0,0.0,6.764700709346516e-07,0.0
ABCC9,0.00012944906300215613,7.404844417650716e-05,3.241178237513347e-05,1.0821444265246846e-05,5.205251722070795e-05
ABCD1,4.701947429178613e-06,7.033456747054389e-07,9.705272069296699e-06,1.902042420738634e-05,9.383914718983035e-06
ABCD2,0.0,0.0,0.0,0.0,0.0
ABCD3,0.00016712299872962782,9.144092691208251e-05,4.197806415600873e-05,0.0001041700495298157,6.994405466790849e-05
ABCD4,2.4719856079792835e-05,1.6581260715189823e-05,3.826306206116161e-05,2.9179301175471416e-05,6.555037893997076e-05
ABCE1,8.567600816259466e-05,8.395595806029847e-05,0.00017913466109662754,7.385282720500317e-05,4.446074291375666e-05
ABCF1,0.00015783656493721808,0.00015125657986147996,0.00011655053711958431,0.00011650255120242848,8.93901385498406e-05
ABCF2,1.5067577286278113e-05,8.944136786010234e-06,1.6980022826490013e-05,2.1523594351935798e-05,6.136630493367178e-06
ABCF3,2.6448438580348926e-05,1.3363567819403337e-05,2.2597744678979736e-05,4.246575116789137e-05,7.760272606175105e-06
ABCG1,0.00018751811662565677,0.00022198632171067353,0.0004128625641029469,0.00023132974682351154,0.0005054362609042057
ABCG2,2.1235549000949603e-05,6.329330584412132e-05,1.826243854689429e-06,3.653670668756532e-06,0.0
ABCG4,5.031573121336386e-06,0.0,6.450031605154866e-07,0.0,0.0
ABCG5,2.4757964602132453e-05,1.7680718733760147e-05,2.5800126420619463e-06,2.388732825010988e-06,0.0
ABCG8,5.634120232125754e-06,1.4066913494108778e-06,6.450031605154866e-07,0.0,0.0
ABHD1,3.9982558055875224e-05,1.4066913494108778e-06,1.4694017341095301e-05,8.64855208342073e-06,1.5043294601864166e-06
ABHD10,0.0,4.120395555652397e-06,1.386377265076961e-05,1.3485328767975108e-05,1.5043294601864166e-06
ABHD11,1.0964731939715905e-06,4.610577632035023e-05,2.994053535992855e-05,2.8867791428558455e-05,1.5043294601864166e-06
ABHD12,2.9009119182789502e-05,7.030745705070901e-05,5.345550167372427e-05,7.469282673593977e-05,2.2643666796974237e-05
ABHD12B,0.0,0.0,0.0,6.764700709346516e-07,0.0
ABHD13,9.087840205064973e-06,6.230432579768714e-06,3.1519023299339516e-05,4.586853235670981e-05,6.843972520772207e-05
ABHD14A,8.143121273361185e-06,6.33011107234895e-06,1.9946781672251854e-05,1.3668646783934623e-05,0.0
ABHD14A-ACY1,9.536742038855786e-05,6.721434441461324e-05,4.9669549214211214e-05,1.606965863097917e-05,6.017317840745666e-06
ABHD15,4.614629277545874e-05,2.1083666327152533e-05,1.6762491572775954e-05,3.1511040073607095e-05,1.96350078766014e-05
ABHD16A,1.5531941173665202e-05,1.2361186666957193e-05,4.763651171159998e-05,5.361747339586155e-05,3.028462675052783e-05
ABHD17A,5.798420623150203e-06,1.2842875215847738e-05,1.5401534887079047e-05,2.6415196218066277e-05,1.951569522397989e-05
ABHD17B,8.637047356543409e-06,7.637123929179591e-06,8.617464390869404e-05,1.223311082903291e-05,2.553301306472556e-05
ABHD17C,3.289419581914771e-06,2.7137042062415198e-06,9.457516154018236e-06,4.2222611357923016e-05,0.0
ABHD18,4.927117477347324e-05,2.431806313694965e-05,8.228259969897926e-05,7.317493928429149e-05,0.00015277939060904725
ABHD2,0.000325512151887718,0.00044138937699959564,0.0001850719954420479,0.00029887503397663486,8.349213336171645e-05
