gene,1_non_malignant_core,2_non_malignant_border,3_malignant_border,4_malignant_core,5_malignant_collagen
A1BG,0.000869347,0.000881139,0.000178342,5.67E-05,1.64E-05
A1CF,0.000695901,0.00053209,0.000201522,8.53E-05,8.40E-05
A2M,0.002756017,0.002676699,0.000488872,0.000403054,0.000350853
A2ML1,1.93E-05,2.71E-06,1.81E-05,5.08E-06,0
A4GALT,0,2.71E-06,1.52E-05,1.99E-06,1.38E-05
AAAS,0.000116285,5.84E-05,1.48E-05,1.73E-05,1.50E-06
AACS,3.43E-05,0,5.00E-05,1.98E-05,5.29E-05
AADAC,0.000194617,8.56E-05,5.92E-05,2.28E-05,2.20E-05
AADACL2,2.19E-06,0,0,0,0
AADACL3,0,0,0,0,0
AADAT,4.39E-06,1.45E-05,1.94E-06,9.84E-06,6.14E-06
AAGAB,1.80E-05,5.43E-06,2.43E-05,2.27E-05,9.15E-06
AAK1,0.000224388,0.000143283,0.000147054,0.000143596,0.000151583
AAMDC,3.85E-05,2.24E-05,3.94E-05,4.17E-05,3.03E-05
AAMP,2.19E-05,2.73E-05,4.00E-05,9.82E-05,3.98E-05
AANAT,0,0,0,0,0
AAR2,0,8.94E-06,3.87E-06,1.11E-05,6.14E-06
AARD,0,1.14E-05,6.45E-07,3.93E-06,8.75E-06
AARS1,2.62E-05,6.11E-05,5.16E-06,2.20E-05,6.14E-06
AARS2,9.17E-06,6.34E-05,1.79E-05,2.15E-05,6.08E-05
AASDH,3.29E-06,8.94E-06,1.62E-05,4.39E-05,9.26E-06
AASDHPPT,4.61E-05,8.84E-06,5.04E-05,1.92E-05,7.90E-05
AASS,0.000199485,8.22E-05,7.63E-06,2.26E-05,1.23E-05
AATK,1.81E-05,7.03E-07,1.29E-06,3.65E-06,1.50E-06
ABAT,0.000251485,0.000172328,0.000141641,7.84E-05,3.95E-05
ABCA1,0.000193224,0.00021475,0.000126689,0.000264849,0.000157074
ABCA10,9.37E-05,6.05E-05,2.54E-05,2.12E-05,1.08E-05
ABCA12,0,0,0,0,0
ABCA13,0,0,6.45E-07,2.73E-06,0
ABCA2,1.19E-05,2.27E-05,4.31E-05,4.58E-05,1.18E-05
ABCA3,3.61E-06,1.41E-06,1.55E-05,1.65E-05,1.38E-05
ABCA4,2.30E-05,0,6.45E-07,1.35E-06,0
ABCA5,7.33E-05,7.09E-05,3.19E-05,7.19E-05,5.56E-05
ABCA6,0.000230068,0.000129106,2.91E-05,3.14E-05,1.67E-05
ABCA7,3.61E-06,8.34E-06,1.46E-05,8.98E-06,0
ABCA8,0.000473188,0.000590014,0.000624826,0.000289344,0.000691735
ABCA9,8.39E-05,8.05E-05,8.92E-06,1.39E-05,3.69E-05
ABCB1,0.000127021,7.67E-05,4.07E-05,7.65E-05,2.44E-05
ABCB10,2.55E-05,7.64E-06,2.78E-05,1.26E-05,7.76E-06
ABCB11,0.000115231,9.98E-05,1.10E-05,1.85E-05,0
ABCB4,0.000181909,0.000104768,2.98E-05,2.71E-06,1.50E-06
ABCB5,0,0,0,0,0.000118589
ABCB6,8.08E-06,3.52E-06,5.75E-05,1.15E-05,0
ABCB7,1.37E-05,4.51E-05,1.79E-05,2.51E-05,3.01E-06
ABCB8,1.78E-05,7.03E-07,1.48E-05,4.17E-06,8.75E-06
ABCB9,1.83E-05,4.21E-05,1.04E-05,4.92E-06,2.62E-05
ABCC1,9.24E-06,3.47E-05,1.41E-05,1.54E-05,9.15E-06
ABCC10,2.19E-06,0,4.94E-06,1.85E-05,6.02E-06
ABCC11,4.76E-05,8.16E-05,6.45E-07,3.34E-06,1.50E-06
ABCC12,0,0,0,0,0
ABCC2,0.000214858,0.000112095,1.91E-05,1.31E-06,1.50E-06
ABCC3,0.00026267,0.000115131,8.25E-05,0.000110423,4.19E-05
ABCC4,0,7.03E-06,2.17E-05,7.17E-06,3.23E-05
ABCC5,2.19E-06,1.13E-05,1.77E-05,4.97E-05,2.61E-05
ABCC6,0.000105088,4.63E-05,5.05E-06,2.57E-05,8.75E-06
ABCC8,0,0,0,6.76E-07,0
ABCC9,0.000129449,7.40E-05,3.24E-05,1.08E-05,5.21E-05
ABCD1,4.70E-06,7.03E-07,9.71E-06,1.90E-05,9.38E-06
ABCD2,0,0,0,0,0
ABCD3,0.000167123,9.14E-05,4.20E-05,0.00010417,6.99E-05
ABCD4,2.47E-05,1.66E-05,3.83E-05,2.92E-05,6.56E-05
ABCE1,8.57E-05,8.40E-05,0.000179135,7.39E-05,4.45E-05
ABCF1,0.000157837,0.000151257,0.000116551,0.000116503,8.94E-05
ABCF2,1.51E-05,8.94E-06,1.70E-05,2.15E-05,6.14E-06
ABCF3,2.64E-05,1.34E-05,2.26E-05,4.25E-05,7.76E-06
ABCG1,0.000187518,0.000221986,0.000412863,0.00023133,0.000505436
ABCG2,2.12E-05,6.33E-05,1.83E-06,3.65E-06,0
ABCG4,5.03E-06,0,6.45E-07,0,0
ABCG5,2.48E-05,1.77E-05,2.58E-06,2.39E-06,0
ABCG8,5.63E-06,1.41E-06,6.45E-07,0,0
ABHD1,4.00E-05,1.41E-06,1.47E-05,8.65E-06,1.50E-06
ABHD10,0,4.12E-06,1.39E-05,1.35E-05,1.50E-06
ABHD11,1.10E-06,4.61E-05,2.99E-05,2.89E-05,1.50E-06
ABHD12,2.90E-05,7.03E-05,5.35E-05,7.47E-05,2.26E-05
ABHD12B,0,0,0,6.76E-07,0
ABHD13,9.09E-06,6.23E-06,3.15E-05,4.59E-05,6.84E-05
ABHD14A,8.14E-06,6.33E-06,1.99E-05,1.37E-05,0
ABHD14A-ACY1,9.54E-05,6.72E-05,4.97E-05,1.61E-05,6.02E-06
ABHD15,4.61E-05,2.11E-05,1.68E-05,3.15E-05,1.96E-05
ABHD16A,1.55E-05,1.24E-05,4.76E-05,5.36E-05,3.03E-05
ABHD17A,5.80E-06,1.28E-05,1.54E-05,2.64E-05,1.95E-05
ABHD17B,8.64E-06,7.64E-06,8.62E-05,1.22E-05,2.55E-05
ABHD17C,3.29E-06,2.71E-06,9.46E-06,4.22E-05,0
ABHD18,4.93E-05,2.43E-05,8.23E-05,7.32E-05,0.000152779
ABHD2,0.000325512,0.000441389,0.000185072,0.000298875,8.35E-05
ABHD3,3.18E-05,4.25E-05,3.20E-05,1.16E-05,1.24E-05
ABHD4,6.13E-06,7.03E-07,2.58E-06,8.46E-06,6.26E-06
ABHD5,2.30E-05,9.85E-06,1.97E-05,2.37E-05,4.51E-06
ABHD6,0.000144115,2.79E-05,1.46E-05,2.13E-05,3.13E-06
ABHD8,8.14E-06,3.42E-06,1.22E-05,4.41E-06,0
ABI1,2.40E-05,8.24E-05,4.03E-05,0.000106124,4.64E-05
ABI2,9.57E-05,0.000232333,0.000190246,9.02E-05,0.000154661
ABI3,0,2.71E-06,3.12E-06,7.75E-06,0
ABI3BP,1.93E-05,3.42E-06,2.53E-05,1.43E-05,9.92E-05
ABITRAM,1.67E-05,3.52E-06,6.23E-06,1.22E-05,4.63E-06
ABL1,2.64E-05,1.41E-05,4.27E-05,4.44E-05,5.91E-05
ABL2,8.37E-05,3.59E-05,9.52E-05,7.95E-05,0.000296421
ABLIM1,0.000239064,0.000155573,0.000258869,0.000252279,3.71E-05
ABLIM2,0,0,4.52E-06,9.20E-06,4.51E-06
ABLIM3,0.000134586,9.66E-05,3.83E-05,1.19E-05,3.13E-06
ABR,6.40E-05,0.0001097,3.89E-05,0.000123863,2.11E-05
ABRA,0,0,0,0,0
ABRACL,1.03E-05,7.03E-07,1.06E-05,3.70E-05,3.08E-05
ABRAXAS1,2.51E-06,1.27E-05,2.12E-05,1.49E-05,0
ABRAXAS2,2.82E-05,6.83E-06,9.46E-06,6.76E-07,1.63E-05
ABT1,6.89E-06,1.14E-05,1.67E-05,1.73E-05,9.26E-06
ABTB1,1.56E-05,1.41E-05,1.31E-05,4.10E-05,2.51E-05
ABTB2,3.07E-05,6.93E-06,3.76E-06,9.84E-06,1.50E-05
