index,B cells,CAFs,Cholangiocyte,Hepatocytes,Kupffer cells,LSEC,LVEC,LVECm,Myofibroblasts,Pericytes,Proliferation,SAMs,Stellate cells,T cells_far,T cells_tumor,TM1,cDC1,cDC2,Carcinoma
TSPAN6,4.75E-06,3.38E-05,5.96E-05,7.78E-05,2.62E-05,8.33E-05,3.79E-05,2.47E-05,0,3.02E-05,7.26E-05,4.28E-06,4.60E-05,0,0,8.65E-06,0,7.01E-06,0.000214814
DPM1,2.85E-05,4.13E-05,5.70E-05,3.34E-05,1.96E-05,3.85E-05,8.57E-05,4.63E-05,3.11E-05,2.01E-05,3.39E-05,2.40E-05,3.45E-05,1.99E-05,4.52E-05,2.59E-05,3.49E-05,3.51E-05,5.86E-05
SCYL3,4.75E-06,7.51E-06,1.04E-05,5.47E-06,6.55E-06,0,1.26E-05,6.18E-06,6.21E-06,2.01E-05,4.84E-06,5.14E-06,7.66E-06,0,0,4.32E-06,0,3.51E-06,1.39E-05
C1orf112,4.75E-06,3.76E-06,5.18E-06,6.08E-07,1.64E-06,0,4.22E-06,0,0,0,1.94E-05,5.14E-06,7.66E-06,0,0,4.32E-06,1.16E-05,0,0
FGR,4.75E-06,0,2.59E-06,0,7.86E-05,6.41E-06,2.11E-05,3.09E-05,0,0,5.81E-05,0.000148238,0,7.94E-05,0,0.000188766,0.000139493,0.000505006,0
CFH,2.85E-05,0.000431924,3.88E-05,0.001210327,4.09E-05,4.17E-05,8.29E-05,0.000225478,4.35E-05,0.000261446,0.000101702,1.80E-05,0.001107373,1.99E-05,3.01E-05,7.49E-05,2.32E-05,2.45E-05,2.79E-06
FUCA2,9.98E-05,6.01E-05,5.96E-05,3.28E-05,0.000132595,7.37E-05,4.92E-05,4.94E-05,6.21E-06,7.04E-05,8.72E-05,9.17E-05,6.90E-05,6.62E-06,1.51E-05,5.91E-05,4.65E-05,6.31E-05,1.67E-05
GCLC,1.90E-05,9.39E-06,4.40E-05,4.80E-05,4.75E-05,9.62E-06,8.43E-06,1.85E-05,0,0,3.87E-05,4.63E-05,1.15E-05,1.99E-05,1.51E-05,2.31E-05,3.49E-05,2.10E-05,1.39E-05
NFYA,1.43E-05,1.50E-05,2.85E-05,0,2.78E-05,1.28E-05,4.22E-06,2.78E-05,6.21E-06,0,9.69E-06,8.57E-06,2.30E-05,6.62E-06,1.51E-05,7.20E-06,1.16E-05,0,4.18E-05
STPG1,3.80E-05,5.63E-06,7.77E-06,6.69E-06,9.82E-06,1.28E-05,1.69E-05,0,6.21E-06,0,0,7.71E-06,7.66E-06,1.32E-05,0,7.20E-06,1.16E-05,3.51E-06,8.37E-06
