,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.0018497851127848419,0.0016797997782962179,1.1011938069553957,0.041863760283351405
A1CF,0.001480728995179237,0.00046468889750541097,3.1864953157440024,0.5033132843887619
A2M,0.0058642167249463575,0.00353777079597815,1.6576022199100588,0.21948031968558018
AADAC,0.00041410349296063317,0.0005430117910312774,0.7626049743306235,-0.11770036623085696
AAK1,0.000477449835206845,3.8084879294947654e-05,12.536467071596668,1.0981751642868187
ABAT,0.0005351064754220076,0.0004883034265456202,1.095848290902818,0.039750434637215074
ABCA1,0.000411139485881631,5.715176650030404e-05,7.193819387532734,0.8569595299541969
ABCA6,0.0004895356645024173,0.00011492457961583642,4.259625452960631,0.6293714134539685
ABCA9,0.00017852131653142903,2.2277436733749444e-06,80.13548356798887,1.903824861970237
ABCB1,0.00027027361319593144,8.214326290508594e-05,3.290271211994883,0.5172316976515597
ABCC3,0.000558905771314785,7.881942583861367e-05,7.0909647636760225,0.8507053272897696
ABCC6,0.00022360486426287022,0.0001540345039065345,1.451654392956982,0.16186323268813713
ABCC9,0.000275439879662419,6.046661741001895e-05,4.555238765791789,0.6585111457323282
ABCG2,4.510908117361496e-05,7.114353333797347e-05,0.6340573634334465,-0.19787144953838212
ABHD14A-ACY1,0.00020299086528126732,0.00038160896104131865,0.5319342206413452,-0.2741420695447255
ABI3BP,4.106628616277212e-05,6.112654078875392e-06,6.718241476266805,0.8272556097952314
ABL2,0.0001780957591618666,2.1630733588366314e-05,8.233459047253584,0.9155823296871755
ABLIM1,0.0005086772349853343,7.827872216741202e-05,6.498282303298764,0.8127985743684187
ACAA1,0.00033766275045298607,0.0010002154877357273,0.33759000394743127,-0.47161042133175807
ACAA2,0.0004582571978395805,0.0015679885257063211,0.29225800465163004,-0.534233585115909
ACADSB,0.0007363631944223081,0.0005333162631998685,1.3807251817226969,0.14010724560366133
ACAP1,4.5321859858396164e-05,4.335784283842485e-06,10.452978490486789,1.0192400567315913
ACAT1,0.0006960139724272485,0.000943812270099206,0.7374495908535806,-0.13226766099366366
ACAT2,0.00010000598184716525,0.0002988422240841722,0.3346447516030983,-0.47541598185930734
ACE,7.808977731470137e-05,7.217579385038743e-06,10.819385994780049,1.034202615054723
ACOT13,0.00013319945667303288,0.00037955055839491243,0.350939957080612,-0.45476718136654215
ACOX1,0.0005520883422543953,0.0003314899085953453,1.6654755633250298,0.22153826489212944
ACOX2,8.277090837988782e-05,0.0003555630697337719,0.23278826015835277,-0.633038925555685
ACP5,3.97896140540849e-05,8.494025898499247e-06,4.684423444142672,0.6706561458244492
ACSF2,0.00010192099001019607,3.676123853535214e-05,2.772512409019675,0.44287349861081365
ACSL1,0.0021819709398915596,0.0011934103525410612,1.8283492641450714,0.26205916131148027
ACSL5,0.0006529411832669898,0.0003023832444623006,2.159316679163401,0.3343163393827168
ACSM2A,0.0026777857033818703,0.0011136442087451045,2.4045253253723633,0.3810293555880537
ACSM2B,0.0026856627702924706,0.0009553412019062905,2.8112079379948143,0.44889297046826515
