,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.0005116904183394101,0.0003270769506969442,1.564434354817992,0.1943573444470948
A1CF,0.0005781973763028036,0.00016959049798973897,3.409373656876621,0.5326746011780786
A2M,0.0014026483845332232,0.001363766128588483,1.028510941230799,0.012208916051050914
AADAC,0.00016985383569598344,0.0001315404065263369,1.2912673769331515,0.11101617898490902
AAK1,0.00042192037085197884,0.00016797366101525103,2.511824581912702,0.3999893063360684
ABAT,0.00040638964766579036,0.00016804808798343351,2.418293790440823,0.38350906071690966
ABCA1,0.0003634900775420346,0.00013483772955315515,2.6957594046311875,0.43068112899691796
ABCA6,8.349234153299185e-05,5.044271409260818e-05,1.655191300367137,0.21884819502568445
ABCB1,0.0001167745120409886,8.311176389896371e-05,1.405029884613538,0.14768556166794952
ABCC3,0.0002367050919749769,0.0002305526880722776,1.0266854572555257,0.011437410392184964
ABCC9,9.296054521199094e-05,6.526833707588993e-05,1.4242824220249743,0.15359611441713067
ABHD14A-ACY1,0.0001425968857109861,0.00013463467317079546,1.0591393907131925,0.024953120290540826
ABI3BP,7.258956153899291e-05,6.626458764526538e-05,1.0954502867743938,0.03959267338969646
ABL2,0.0002731433303759734,0.00014069582855604962,1.941374759857646,0.2881093789886267
ABLIM1,0.0007427346721753976,0.0004065962769594757,1.8267129195809726,0.26167030036934735
ACAA1,7.775403627299242e-05,0.00029658067570782494,0.2621682484451261,-0.5814199074593365
ACAA2,0.00012882495308698744,0.0005442934307128242,0.23668291002203376,-0.6258330997011683
ACADSB,0.000246460210916976,0.00012795081487452923,1.92621056113366,0.2847037597044795
ACAP1,5.049708628799508e-05,2.5112058388491354e-05,2.0108700571968035,0.30338400731194737
ACAT1,0.000430636856541918,0.00031705762320873086,1.3582289937826655,0.13297299700793372
ACAT2,8.320542626999188e-05,9.302203270188842e-05,0.8944700933019145,-0.04843417553381429
ACE,5.508773049599462e-05,2.2468704264520307e-05,2.4517537748263525,0.3894768526311872
ACOT13,0.00010730630836198954,0.00017221820069122562,0.6230834367755458,-0.20545379330083297
ACOX1,0.00046137982697236503,0.0001946723041874937,2.3700332150381223,0.37475443251081747
ACP5,4.7627933657995355e-05,1.9635742949440065e-05,2.4255732915547012,0.3848144018797817
ACSF2,3.414291629699667e-05,0.00011305716754090626,0.30199691925452765,-0.5199974873659724
ACSL1,0.0004950206415591117,0.000351519418928416,1.408231280844028,0.14867398701182546
ACSL5,0.0008029381018106816,0.0006075006220915953,1.3217074561112456,0.12113533997861382
ACSM2A,0.00038857794813875206,0.00021425294499856286,1.8136411060364117,0.2585513504810969
ACSM2B,0.00047555057181193367,0.00017678773835678234,2.689952234425932,0.42974456828886876
ACSM5,6.484284943799367e-05,6.586862032610613e-05,0.984427017249883,-0.006816475747852683
ACTA2,0.0004043525492984906,0.0009050353419557662,0.4467809493767299,-0.3499053533651845
ACTB,0.0017232561068672818,0.008045083528676512,0.2141999024279581,-0.669180731333337
ACTN1,0.0003641356368837845,0.00034819388697867953,1.0457841177035974,0.019442041924633034
ACTN4,0.0007022968350081815,0.0009644179353479435,0.7282079783748591,-0.13774456716917965
ACTR2,0.0006628660704140954,0.0004992650408148663,1.327683727529191,0.12309463245103487
ACVRL1,3.615132313799647e-05,7.818297408513772e-05,0.46239380838377053,-0.3349879899049272
ADA2,4.275037418699583e-05,0.00012152650190497566,0.35177820077815886,-0.45373107668949186
ADAM19,5.307932365499482e-05,2.9423983835201376e-05,1.8039475535428138,0.256223907076183
