,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,0.00015433302208146254,8.378741204273171e-05,1.8419595297053986,0.2652800839397067
A1CF,0.00023218001381920198,0.00011493477918346717,2.0201023177551813,0.30537336692737577
A2M,0.0010970818674077918,0.0006050991689770444,1.8130612693824602,0.25841248060135774
AADAC,6.205983956714894e-05,4.208391487878146e-05,1.474668878736832,0.1686945150388776
AAK1,0.000390857224670365,0.00014908798000614015,2.6216548420219232,0.41857551341337096
ABAT,0.00021339874658177533,0.00018182197279527126,1.1736686347697867,0.06954549861147737
ABCA1,0.0007208985284877119,0.00023414725883859453,3.0788254027122783,0.48838506117062236
ABCA6,8.546837554423144e-05,1.4487845817293704e-05,5.899315648583893,0.7708016341367222
ABCA9,3.78347267536566e-05,3.654852737424676e-06,10.351915513924684,1.0150207188901164
ABCB1,0.00020822709328451294,7.996645913101616e-05,2.6039303921579915,0.41562937056215526
ABCC3,0.00030056288002295125,0.0003819673216891714,0.7868811360452883,-0.10409086593618706
ABCC6,6.995341565244421e-05,4.6146165841665855e-05,1.5159095967466607,0.18067330234830548
ABCC9,2.9396766110754765e-05,1.5009273949626054e-05,1.958573493255959,0.2919398725990619
ABHD14A-ACY1,4.382295688732886e-05,0.00012082432507824474,0.3626997863133066,-0.44045270028661593
ABHD17C,0.00011486514165498622,0.00025891557924307914,0.44363935917176595,-0.3529699307085599
ABI3BP,3.8923495868869735e-05,2.3773845575808016e-05,1.6372402077212878,0.2141124016078921
ABL2,0.00021639286164861147,0.00012802285450249208,1.6902674330261804,0.22795542384378914
ABLIM1,0.000686683959042139,0.0007153161328089427,0.959972699547025,-0.017741117590296365
ACAA1,0.00017746936577974173,0.00021892425965512545,0.8106427586385894,-0.0911704924385935
ACAA2,0.00012493625597070774,0.00045135841821322784,0.2768005445988739,-0.55783305974977
ACADSB,0.00013691271623805229,6.642718330048462e-05,2.061094712065767,0.3140979490729738
ACAT1,0.00017855813489495487,0.00025152929576314803,0.7098900124265991,-0.14880893395195335
ACAT2,3.184649661998433e-05,4.663596456735986e-05,0.6828741919551384,-0.16565930037760954
ACE,3.402403485041061e-05,1.7321160093456313e-05,1.964304623179622,0.2932088388008465
ACOT13,0.00015923248309992165,0.00017082467459106013,0.9321398298056811,-0.030518934472253626
ACOX1,0.00027995520259475453,0.0002516844944903328,1.1123259824236316,0.04623208186914057
ACOX2,5.5527224875870114e-05,4.197312923208728e-05,1.3229231627891378,0.12153462049456766
ACSF2,0.0001507945224570198,0.0002354187975168213,0.6405373064835451,-0.193455570793438
ACSL1,0.0004002505802118663,0.00019748859487147045,2.0267022532230654,0.3067899503307304
ACSL5,0.0013101703147917314,0.0012537704917435454,1.0449841684898438,0.019109710935510147
ACSM2A,0.0002851105243552888,5.405495796509879e-05,5.274456499242376,0.7221777148624806
ACSM2B,0.00013174106294078987,4.409263021769937e-05,2.987825001374204,0.4753551570111022
ACSM3,3.7018149917246745e-05,8.235764656566357e-05,0.4494804242339812,-0.34728921790692624
ACSM5,3.211868889878762e-05,1.7913405185307204e-05,1.7929973986817294,0.2535796594790874
ACTA2,0.0003286422355042981,0.0006910159396624011,0.47559284329223683,-0.322764689255355
ACTB,0.0018350522956220457,0.007709293097633257,0.2380312010948714,-0.6233661119552661
ACTN1,0.0004847771704714384,0.00036146629081994946,1.341140744747652,0.1274743568671207
ACTN4,0.0009864220964603163,0.0014365471530283587,0.6866618296384202,-0.1632570936253758
ACTR2,0.0007310839635605308,0.0005748266086155688,1.2718338932174649,0.10443039435508383
ACVRL1,0.000142356561814118,0.00011617592302651028,1.2253533960012828,0.08826135874086331
ADAM15,8.764591377465773e-05,2.0704306682511408e-05,4.233221383292724,0.6266709812139883
ADAMTS1,0.0001763805966645286,0.00011906448237749187,1.481387170569616,0.17066857916062214
ADAMTS2,0.00022020355355185746,6.407466792509965e-05,3.4366710071640996,0.5361379590758503
ADAMTS5,5.062776385741099e-05,6.235474692624987e-06,8.119311897342959,0.9095192248261849
ADAMTSL2,6.587053147039493e-05,4.78266836693248e-05,1.377275746857672,0.1390208998427428
ADAMTSL3,4.654487967536171e-05,5.065993968087243e-06,9.187709256775046,0.9632072435782678
ADCY4,3.7290342196050024e-05,7.953971131276608e-06,4.688267229109863,0.6710123583044415
