,experimental bulk,cellanneal mixed bulk,"fold change, exp/mixed","log10 fold change, exp/mixed"
A1BG,3.805762522706682e-05,8.403204075112442e-05,0.4528942161452574,-0.3440032256015169
A1CF,0.00019492929994351297,2.3489691533946553e-05,8.298504033644178,0.9189998094255275
A2M,0.0008141848770604924,0.001737080601049563,0.46870874993857686,-0.32909693891723235
AADAC,5.105291188996769e-05,3.890141489189385e-05,1.3123664532984873,0.11805512042358061
AAK1,0.00035176152468258966,0.00014932113575654655,2.3557383413966413,0.3721270504621206
ABAT,9.16631827115329e-05,4.5095775253103766e-05,2.0326334827833805,0.3080590752662243
ABCA1,0.00036450386737294475,0.00010361431874998294,3.5178908839084055,0.5462823646122341
ABCA6,3.8753801298293655e-05,6.640218808971067e-05,0.5836223536178733,-0.23386808232523776
ABCA9,8.562965676090036e-05,3.073585065821858e-05,2.785986231944536,0.44497896585489033
ABCB1,5.662232045978235e-05,1.5468393268483007e-05,3.660517254571672,0.5635424583271634
ABCC3,9.723259128134755e-05,5.3610662308499355e-05,1.8136800982205445,0.25856068744876715
ABCC9,0.00012090257770305984,9.136138111428966e-05,1.3233444616146428,0.12167290413225243
ABI3BP,0.00023020222088567248,8.421760603507619e-05,2.7334215697106665,0.43670661715915216
ABL2,0.000687870690697096,0.00018010733168399352,3.819226481595965,0.5819754129663889
ABLIM1,8.609377414171824e-05,0.0001143800241636454,0.7526993876006045,-0.12337843730940497
ACAA2,5.290938141323924e-05,0.00016430517384875132,0.3220189612649945,-0.4921185552286707
ACADSB,4.177056427360993e-05,3.928564501449892e-05,1.063252601763161,0.026636454099441164
ACAP1,3.10958645147985e-05,3.580871537379466e-05,0.8683881616584019,-0.06128610571678321
ACAT1,0.00012948874924819078,0.00012968679839758332,0.9984728657670662,-0.0006637329042001838
ACAT2,3.1792040586025334e-05,3.7950526757274865e-05,0.8377233019547221,-0.07689940413548627
ACE,3.0863805824389555e-05,3.0031529688093403e-05,1.0277134113693225,0.01187202398484927
ACKR3,5.244526403242135e-05,5.5651030841281826e-05,0.9423951944753116,-0.02576693713483428
ACOT13,3.4576744870932664e-05,7.729980161519685e-05,0.44730703246895537,-0.3493942738853513
ACOX1,0.0003566649248109306,7.785894712809126e-05,4.5809112242958525,0.6609518754538785
ACOX2,3.0863805824389555e-05,2.9368898417991834e-05,1.050901037727786,0.02156182088808155
